Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
237,2.78973e-51,0.120359,5000,0.999878,7.00842,0.999878,0,0.00500488,0.00500488
238,2.91188e-48,0.120254,5000,0.999878,7.00946,0.999878,0,0.00518799,0.00518799
239,2.61814e-47,0.120145,5000,0.999939,7.00922,1,0,0.00402832,0.00402832
240,7.272e-47,0.120025,5000,1,7.0105,1.00006,0,0.00469971,0.00469971
241,1.42528e-46,0.119906,5000,0.999939,7.01123,0.999939,6.10352e-05,0.00488281,0.00488281
242,2.35605e-46,0.119776,5000,0.999817,7.01251,0.999817,0,0.0057373,0.0057373
243,3.5195e-46,0.119626,5000,1,7.01251,1,0,0.00390625,0.00390625
244,4.91565e-46,0.119481,5000,0.999939,7.01251,0.999939,0,0.00561523,0.00561523
245,6.54449e-46,0.11932,5000,1,7.01227,1,0,0.00463867,0.00463867
246,8.40603e-46,0.119157,5000,0.999878,7.01282,0.999878,0,0.00567627,0.00567627
247,1.05002e-45,0.118977,5000,0.999939,7.01227,0.999939,0,0.00488281,0.00488281
248,1.28272e-45,0.118788,5000,1,7.01178,1,0,0.00408936,0.00408936
249,1.53868e-45,0.118593,5000,0.999939,7.01239,0.999939,0,0.00421143,0.00421143
250,1.81791e-45,0.11839,5000,0.999817,7.01263,0.999817,0,0.00439453,0.00439453
251,2.1204e-45,0.118162,5000,1,7.01166,1,0,0.00567627,0.00567627
252,2.44617e-45,0.117927,5000,1,7.01019,1,0,0.00561523,0.00561523
253,2.79521e-45,0.117685,5000,0.999939,7.01025,0.999878,6.10352e-05,0.00616455,0.00616455
254,3.16751e-45,0.11742,5000,0.999939,7.0097,0.999939,0,0.00463867,0.00463867
255,3.56309e-45,0.117145,5000,1,7.01086,1,0,0.00488281,0.00488281
256,3.98193e-45,0.116854,5000,1,7.01099,1,0,0.00488281,0.00488281
257,4.42405e-45,0.116559,5000,0.999817,7.01074,0.999817,0,0.00622559,0.00622559
258,4.88943e-45,0.11624,5000,0.999878,7.00964,0.999878,0,0.00598145,0.00598145
259,5.37808e-45,0.115907,5000,1,7.00854,1,0,0.0045166,0.0045166
260,5.89e-45,0.115579,5000,0.999939,7.00836,0.999939,0,0.00427246,0.00427246
261,6.42519e-45,0.115231,5000,1,7.00787,1,0,0.00524902,0.00524902
262,6.98365e-45,0.114878,5000,1,7.00671,1,0,0.00384521,0.00384521
263,7.56537e-45,0.114515,5000,1,7.00635,1,0,0.00488281,0.00488281
264,8.16746e-45,0.114145,5000,0.999939,7.00604,0.999939,0,0.00445557,0.00445557
265,8.79573e-45,0.113762,5000,1,7.00433,1,0,0.00378418,0.00378418
266,9.45017e-45,0.113369,5000,0.999878,7.00446,0.999878,0,0.00512695,0.00512695
