Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
414,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
415,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
416,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
417,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
418,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
419,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
420,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
421,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
422,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
423,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
424,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
425,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
426,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
427,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
428,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
429,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
430,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
431,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
432,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
433,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
434,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
435,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
436,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
437,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
438,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
439,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
440,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
441,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
442,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
443,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
444,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
445,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
446,8.46285e-44,0.0991781,5000,1,7,1,0,0,0
