Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
893,9.50695e-05,0.0166847,5000,6.85083,11.3106,7.74017,0.0742798,4.98102,4.98102
894,9.55507e-05,0.016855,5000,6.85376,11.258,7.74457,0.0741577,5.00476,5.00476
895,9.66262e-05,0.0166495,5000,6.85321,11.2537,7.74115,0.0714722,4.98315,4.98315
896,9.68941e-05,0.0167345,5000,6.85699,11.2419,7.74603,0.0715942,4.99786,4.99786
897,9.62825e-05,0.016788,5000,6.85657,11.2155,7.74542,0.0722656,5.00665,5.00665
898,9.53908e-05,0.0169895,5000,6.85492,11.2218,7.73853,0.0784912,5.03363,5.03363
899,9.70306e-05,0.0167137,5000,6.86682,11.206,7.75446,0.0722046,4.97736,4.97736
900,9.74666e-05,0.0168059,5000,6.86176,11.1773,7.75214,0.0724487,4.98694,4.98694
901,9.7573e-05,0.0164409,5000,6.8573,11.1579,7.74683,0.0754395,4.98859,4.98859
902,9.74363e-05,0.0169038,5000,6.8623,11.1578,7.74323,0.0804443,5.01379,5.01379
903,9.95205e-05,0.016477,5000,6.87402,11.1625,7.7627,0.0773315,4.99359,4.99359
904,9.87793e-05,0.0167275,5000,6.8736,11.1523,7.76355,0.0806274,5.00269,5.00269
905,9.72211e-05,0.0169201,5000,6.86444,11.1262,7.75098,0.0807495,5.01263,5.01263
906,9.80971e-05,0.0166757,5000,6.8678,11.1101,7.75385,0.0817871,4.97406,4.97406
907,9.80678e-05,0.0166647,5000,6.87115,11.0966,7.75378,0.0827637,4.995,4.995
908,9.80601e-05,0.0169378,5000,6.85999,11.107,7.74902,0.078064,4.97058,4.97058
909,9.87356e-05,0.0167305,5000,6.86084,11.116,7.75238,0.0789795,5.0144,5.0144
910,9.94805e-05,0.016404,5000,6.86267,11.1443,7.75513,0.0730591,5.01849,5.01849
911,9.84726e-05,0.016864,5000,6.85498,11.1652,7.75031,0.0757446,4.98761,4.98761
912,9.88055e-05,0.0167671,5000,6.84668,11.1732,7.7406,0.074707,4.98779,4.98779
913,9.9001e-05,0.0169228,5000,6.85364,11.1706,7.74872,0.0739746,5.00342,5.00342
914,9.8689e-05,0.0168586,5000,6.85077,11.1639,7.74054,0.0801392,4.99121,4.99121
915,9.90379e-05,0.0167721,5000,6.84167,11.1593,7.73505,0.0748291,5.01056,5.01056
916,0.000100134,0.0168222,5000,6.84546,11.1164,7.73773,0.0761719,5.00073,5.00073
917,0.000100209,0.0169798,5000,6.84357,11.1329,7.73376,0.0778198,5.03308,5.03308
918,9.9904e-05,0.0168144,5000,6.84784,11.1376,7.73932,0.0790405,4.97815,4.97815
919,0.000100518,0.0167807,5000,6.85205,11.1325,7.74207,0.0822754,5.02478,5.02478
920,0.000101497,0.0165097,5000,6.85718,11.097,7.74896,0.0806274,4.99799,4.99799
921,0.000102293,0.0167751,5000,6.8548,11.0751,7.74243,0.085022,5.00012,5.00012
922,0.000101104,0.0167651,5000,6.85913,11.087,7.74432,0.085022,5.00677,5.00677
923,0.000101502,0.01661,5000,6.85297,11.0867,7.74402,0.0827026,5.00513,5.00513
924,0.00010116,0.0166071,5000,6.84851,11.1103,7.74377,0.0776367,4.96875,4.96875
925,0.000102121,0.0169623,5000,6.84369,11.1023,7.73944,0.0774536,4.99426,4.99426
926,0.000102737,0.016684,5000,6.84161,11.0703,7.74597,0.0741577,4.99689,4.99689
927,0.00010239,0.0168578,5000,6.84833,11.0844,7.74908,0.0773315,4.97919,4.97919
928,0.000102672,0.0167246,5000,6.8407,11.0904,7.74609,0.0739136,4.99158,4.99158
929,0.000102565,0.0166305,5000,6.84637,11.0864,7.75006,0.0755615,4.99341,4.99341
930,0.000102504,0.0167569,5000,6.8371,11.0688,7.74078,0.0786133,4.96277,4.96277
931,0.000103217,0.0165218,5000,6.83734,11.0745,7.74542,0.0762329,4.98749,4.98749
932,0.000102525,0.016995,5000,6.83453,11.0637,7.73517,0.0793457,4.9729,4.9729
933,0.00010253,0.0167276,5000,6.83014,11.0787,7.72998,0.0806274,4.99158,4.99158
934,0.00010416,0.0167426,5000,6.83533,11.0613,7.73389,0.081604,5.02179,5.02179
935,0.000102859,0.0169252,5000,6.83118,11.0287,7.73273,0.0825195,5.02216,5.02216
936,0.000103825,0.0170148,5000,6.83215,10.9797,7.73505,0.0809326,5.01721,5.01721
937,0.00010489,0.0167637,5000,6.84106,10.9678,7.74554,0.0777588,5.00824,5.00824
938,0.000102435,0.0168332,5000,6.83276,10.9149,7.73096,0.0765381,5.01086,5.01086
939,0.000103549,0.0168093,5000,6.83478,10.8875,7.74274,0.0776367,4.97076,4.97076
940,0.000105497,0.0168237,5000,6.83716,10.8633,7.73938,0.0827637,4.99432,4.99432
941,0.0001045,0.0167281,5000,6.83856,10.8946,7.73669,0.083252,5.0235,5.0235
942,0.000105306,0.0166563,5000,6.84521,10.8506,7.7442,0.0837402,5.00208,5.00208
943,0.000105069,0.016856,5000,6.83691,10.8508,7.737,0.0835571,5.0061,5.0061
944,0.00010549,0.0167158,5000,6.84723,10.8574,7.74811,0.0859985,4.97906,4.97906
945,0.000104932,0.0168013,5000,6.83978,10.8552,7.74304,0.0845947,5.00739,5.00739
946,0.000105242,0.0169469,5000,6.84149,10.8719,7.74512,0.0818481,5.01147,5.01147
947,0.000105677,0.0167452,5000,6.84161,10.8724,7.74512,0.0809326,4.98615,4.98615
948,0.000105039,0.0168495,5000,6.83453,10.9221,7.7326,0.0822754,5.00153,5.00153
949,0.000107097,0.016706,5000,6.83521,10.9626,7.74048,0.0784912,5.0249,5.0249
950,0.000106968,0.0166643,5000,6.8457,10.9683,7.74738,0.0797729,4.9989,4.9989
951,0.000106424,0.0168782,5000,6.84479,10.9216,7.74951,0.0767212,5.02325,5.02325
952,0.000106573,0.0169545,5000,6.84406,10.8707,7.74414,0.081604,4.99133,4.99133
953,0.000108043,0.0166936,5000,6.85065,10.8815,7.7533,0.0834961,4.97998,4.97998
954,0.0001065,0.0168144,5000,6.84625,10.8535,7.74536,0.0848389,4.98303,4.98303
955,0.000107184,0.0166231,5000,6.85828,10.8488,7.75793,0.088562,5.01788,5.01788
956,0.000107489,0.0168651,5000,6.85522,10.8456,7.7533,0.0863037,5.01465,5.01465
957,0.000108874,0.0167783,5000,6.85931,10.8152,7.75739,0.0878906,4.98889,4.98889
958,0.000106914,0.0169413,5000,6.85565,10.7948,7.74982,0.0872192,5.02466,5.02466
959,0.000108345,0.0167905,5000,6.85345,10.8071,7.75098,0.0873413,5.00385,5.00385
960,0.000107614,0.0169892,5000,6.86011,10.8357,7.75305,0.0886841,4.99323,4.99323
961,0.000109354,0.0166121,5000,6.87024,10.7939,7.76501,0.090271,4.99615,4.99615
962,0.000108991,0.0168475,5000,6.86841,10.7834,7.76172,0.0924072,4.98999,4.98999
963,0.00010988,0.0167359,5000,6.86938,10.7711,7.76959,0.0886841,5.00403,5.00403
964,0.00010903,0.0168134,5000,6.86938,10.7935,7.75867,0.0921631,4.99957,4.99957
